country,score,upper,lower,gdp_explained,ss_explained,hle_explained,fmlc_explained,gen_explained,pc_explained,dystopia_residual,year,rank,Country/Territory,Region,C/T,Edition,Status,PR rating,CL rating,A1,A2,A3,A,B1,B2,B3,B4,B,C1,C2,C3,C,Add Q,Add A,PR,D1,D2,D3,D4,D,E1,E2,E3,E,F1,F2,F3,F4,F,G1,G2,G3,G4,G,CL,Total,_merge
Romania,6.491,6.592,6.39,1.699,1.236,0.583,0.717,0.041,0.006,2.21,2024,32.0,Romania,Europe,c,2024.0,F,2.0,2.0,4.0,4.0,4.0,12.0,4.0,4.0,3.0,3.0,14.0,4.0,2.0,3.0,9.0,0.0,,35.0,3.0,3.0,3.0,4.0,13.0,4.0,4.0,3.0,11.0,3.0,3.0,3.0,3.0,12.0,4.0,2.0,3.0,3.0,12.0,48.0,83.0,both
El Salvador,6.469,6.599,6.338,1.265,1.08,0.549,0.816,0.083,0.253,2.424,2024,33.0,El Salvador,Americas,c,2024.0,PF,4.0,4.0,4.0,3.0,2.0,9.0,2.0,3.0,2.0,3.0,10.0,2.0,0.0,0.0,2.0,0.0,,21.0,2.0,4.0,3.0,2.0,11.0,3.0,2.0,2.0,7.0,0.0,0.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,10.0,32.0,53.0,both
Estonia,6.448,6.524,6.371,1.752,1.527,0.657,0.805,0.166,0.401,1.138,2024,34.0,Estonia,Europe,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,3.0,4.0,11.0,0.0,,38.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,12.0,4.0,4.0,3.0,3.0,14.0,4.0,4.0,4.0,3.0,15.0,57.0,95.0,both
Poland,6.442,6.513,6.37,1.738,1.417,0.639,0.6,0.081,0.175,1.791,2024,35.0,Poland,Europe,c,2024.0,F,2.0,2.0,3.0,3.0,3.0,9.0,4.0,4.0,4.0,4.0,16.0,3.0,3.0,2.0,8.0,0.0,,33.0,3.0,4.0,3.0,3.0,13.0,3.0,3.0,4.0,10.0,1.0,3.0,4.0,2.0,10.0,4.0,4.0,3.0,3.0,14.0,47.0,80.0,both
Spain,6.421,6.502,6.339,1.766,1.471,0.729,0.619,0.119,0.177,1.54,2024,36.0,Spain,Europe,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,3.0,3.0,3.0,9.0,0.0,,37.0,3.0,4.0,4.0,3.0,14.0,3.0,4.0,4.0,11.0,3.0,3.0,4.0,3.0,13.0,4.0,4.0,4.0,3.0,15.0,53.0,90.0,both
Serbia,6.411,6.522,6.3,1.538,1.391,0.585,0.663,0.2,0.101,1.932,2024,37.0,Serbia,Europe,c,2024.0,PF,4.0,3.0,2.0,2.0,1.0,5.0,3.0,1.0,2.0,3.0,9.0,2.0,1.0,1.0,4.0,0.0,,18.0,2.0,4.0,3.0,2.0,11.0,2.0,2.0,3.0,7.0,2.0,2.0,3.0,2.0,9.0,4.0,3.0,3.0,2.0,12.0,39.0,57.0,both
Chile,6.36,6.448,6.273,1.616,1.369,0.673,0.651,0.117,0.075,1.858,2024,38.0,Chile,Americas,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,3.0,4.0,11.0,0.0,,38.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,12.0,4.0,4.0,2.0,3.0,13.0,4.0,4.0,4.0,3.0,15.0,56.0,94.0,both
Panama,6.358,6.489,6.227,1.702,1.392,0.633,0.72,0.063,0.043,1.806,2024,39.0,Panama,Americas,c,2024.0,F,2.0,2.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,2.0,2.0,8.0,0.0,,35.0,3.0,4.0,4.0,4.0,15.0,4.0,4.0,3.0,11.0,2.0,2.0,3.0,3.0,10.0,4.0,3.0,3.0,2.0,12.0,48.0,83.0,both
Malta,6.346,6.43,6.261,1.827,1.444,0.707,0.727,0.25,0.125,1.267,2024,40.0,Malta,Europe,c,2024.0,F,2.0,2.0,4.0,4.0,4.0,12.0,3.0,4.0,3.0,4.0,14.0,4.0,2.0,3.0,9.0,0.0,,35.0,3.0,4.0,4.0,3.0,14.0,4.0,4.0,4.0,12.0,4.0,3.0,3.0,2.0,12.0,4.0,4.0,3.0,3.0,14.0,52.0,87.0,both
Italy,6.324,6.436,6.211,1.8,1.328,0.72,0.513,0.112,0.074,1.777,2024,41.0,Italy,Europe,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,3.0,3.0,14.0,4.0,3.0,3.0,10.0,0.0,,36.0,3.0,4.0,4.0,4.0,15.0,4.0,4.0,4.0,12.0,4.0,3.0,3.0,3.0,13.0,4.0,3.0,4.0,3.0,14.0,54.0,90.0,both
Guatemala,6.287,6.457,6.117,1.26,1.169,0.467,0.735,0.105,0.078,2.473,2024,42.0,Guatemala,Americas,c,2024.0,PF,5.0,4.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,8.0,2.0,0.0,1.0,3.0,0.0,,17.0,1.0,4.0,3.0,2.0,10.0,2.0,2.0,2.0,6.0,1.0,1.0,2.0,1.0,5.0,3.0,2.0,2.0,1.0,8.0,29.0,46.0,both
Nicaragua,6.284,6.433,6.135,1.097,1.263,0.542,0.793,0.133,0.251,2.203,2024,43.0,Nicaragua,Americas,c,2024.0,NF,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,,4.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,6.0,12.0,16.0,both
Brazil,6.272,6.39,6.154,1.43,1.269,0.548,0.685,0.13,0.142,2.068,2024,44.0,Brazil,Americas,c,2024.0,F,2.0,3.0,3.0,3.0,4.0,10.0,4.0,4.0,2.0,3.0,13.0,3.0,2.0,2.0,7.0,0.0,,30.0,3.0,4.0,4.0,3.0,14.0,3.0,3.0,3.0,9.0,3.0,2.0,1.0,2.0,8.0,3.0,3.0,3.0,2.0,11.0,42.0,72.0,both
Slovakia,6.257,6.332,6.182,1.706,1.54,0.638,0.566,0.096,0.058,1.653,2024,45.0,Slovakia,Europe,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,3.0,3.0,10.0,0.0,,37.0,3.0,4.0,4.0,4.0,15.0,4.0,4.0,4.0,12.0,3.0,3.0,3.0,3.0,12.0,4.0,4.0,3.0,3.0,14.0,53.0,90.0,both
Latvia,6.234,6.314,6.155,1.7,1.508,0.564,0.666,0.127,0.078,1.59,2024,46.0,Latvia,Europe,c,2024.0,F,1.0,2.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,3.0,3.0,10.0,0.0,,37.0,3.0,4.0,3.0,4.0,14.0,4.0,4.0,4.0,12.0,3.0,3.0,3.0,2.0,11.0,4.0,4.0,3.0,3.0,14.0,51.0,88.0,both
Uzbekistan,6.195,6.303,6.087,1.212,1.394,0.539,0.835,0.251,0.215,1.749,2024,47.0,Uzbekistan,Eurasia,c,2024.0,NF,7.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,2.0,1.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,10.0,12.0,both
Argentina,6.188,6.306,6.07,1.562,1.381,0.585,0.681,0.087,0.08,1.812,2024,48.5,Argentina,Americas,c,2024.0,F,2.0,2.0,4.0,4.0,3.0,11.0,4.0,4.0,4.0,4.0,16.0,3.0,2.0,3.0,8.0,0.0,,35.0,3.0,4.0,4.0,4.0,15.0,4.0,4.0,3.0,11.0,2.0,3.0,2.0,3.0,10.0,4.0,3.0,4.0,3.0,14.0,50.0,85.0,both
Kazakhstan,6.188,6.278,6.097,1.622,1.457,0.556,0.733,0.149,0.12,1.551,2024,48.5,Kazakhstan,Eurasia,c,2024.0,NF,7.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,,5.0,0.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,8.0,18.0,23.0,both
Cyprus,6.068,6.182,5.954,1.794,1.217,0.744,0.529,0.124,0.049,1.611,2024,50.0,Cyprus,Europe,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,3.0,4.0,11.0,0.0,,38.0,4.0,4.0,3.0,4.0,15.0,4.0,3.0,4.0,11.0,4.0,4.0,4.0,3.0,15.0,3.0,3.0,4.0,3.0,13.0,54.0,92.0,both
Japan,6.06,6.144,5.976,1.786,1.354,0.785,0.632,0.023,0.219,1.261,2024,51.0,Japan,Asia,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,12.0,0.0,,40.0,3.0,4.0,4.0,4.0,15.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,3.0,15.0,4.0,4.0,3.0,3.0,14.0,56.0,96.0,both
South Korea,6.058,6.148,5.968,1.815,1.178,0.77,0.555,0.126,0.158,1.456,2024,52.0,South Korea,Asia,c,2024.0,F,2.0,2.0,4.0,4.0,3.0,11.0,3.0,4.0,3.0,3.0,13.0,4.0,3.0,2.0,9.0,0.0,,33.0,3.0,4.0,3.0,4.0,14.0,4.0,3.0,4.0,11.0,3.0,3.0,3.0,3.0,12.0,4.0,3.0,3.0,3.0,13.0,50.0,83.0,both
Philippines,6.048,6.166,5.929,1.232,1.146,0.441,0.826,0.099,0.136,2.167,2024,53.0,Philippines,Asia,c,2024.0,PF,3.0,4.0,3.0,3.0,3.0,9.0,3.0,2.0,2.0,3.0,10.0,3.0,1.0,2.0,6.0,0.0,,25.0,1.0,4.0,3.0,3.0,11.0,3.0,2.0,2.0,7.0,2.0,1.0,1.0,1.0,5.0,3.0,2.0,3.0,2.0,10.0,33.0,58.0,both
Vietnam,6.043,6.138,5.948,1.331,1.267,0.539,0.843,0.094,0.16,1.81,2024,54.0,Vietnam,Asia,c,2024.0,NF,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,,4.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,7.0,15.0,19.0,both
Portugal,6.03,6.134,5.925,1.728,1.368,0.699,0.757,0.047,0.035,1.397,2024,55.0,Portugal,Europe,c,2024.0,F,1.0,1.0,4.0,4.0,4.0,12.0,4.0,4.0,4.0,4.0,16.0,4.0,3.0,4.0,11.0,0.0,,39.0,4.0,4.0,4.0,4.0,16.0,4.0,4.0,4.0,12.0,4.0,4.0,3.0,3.0,14.0,4.0,4.0,4.0,3.0,15.0,57.0,96.0,both
Hungary,6.017,6.124,5.91,1.722,1.528,0.596,0.581,0.123,0.067,1.4,2024,56.0,Hungary,Europe,c,2024.0,PF,3.0,3.0,2.0,2.0,3.0,7.0,3.0,2.0,3.0,3.0,11.0,2.0,2.0,2.0,6.0,0.0,,24.0,2.0,3.0,2.0,3.0,10.0,3.0,2.0,3.0,8.0,2.0,3.0,3.0,2.0,10.0,4.0,3.0,3.0,3.0,13.0,41.0,65.0,both
Paraguay,5.977,6.085,5.868,1.398,1.408,0.549,0.788,0.131,0.065,1.637,2024,57.0,Paraguay,Americas,c,2024.0,PF,3.0,3.0,3.0,3.0,3.0,9.0,3.0,3.0,3.0,2.0,11.0,2.0,2.0,2.0,6.0,0.0,,26.0,2.0,4.0,3.0,3.0,12.0,3.0,3.0,2.0,8.0,2.0,1.0,2.0,2.0,7.0,3.0,3.0,2.0,2.0,10.0,37.0,63.0,both
Thailand,5.976,6.094,5.858,1.484,1.347,0.62,0.756,0.283,0.024,1.463,2024,58.0,Thailand,Asia,c,2024.0,PF,5.0,5.0,1.0,2.0,0.0,3.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,1.0,3.0,0.0,,12.0,1.0,3.0,1.0,1.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,5.0,3.0,2.0,3.0,2.0,10.0,24.0,36.0,both
Malaysia,5.975,6.078,5.872,1.646,1.143,0.54,0.829,0.226,0.119,1.473,2024,59.0,Malaysia,Asia,c,2024.0,PF,4.0,4.0,2.0,2.0,2.0,6.0,3.0,3.0,2.0,2.0,10.0,2.0,2.0,2.0,6.0,0.0,,22.0,2.0,1.0,2.0,3.0,8.0,2.0,2.0,2.0,6.0,3.0,2.0,2.0,1.0,8.0,3.0,3.0,2.0,1.0,9.0,31.0,53.0,both
